EC_key	rows	file
NO_EC	893	MT_uniprot_EC_NO_EC.tsv
2.1.1.199	839	MT_uniprot_EC_2.1.1.199.tsv
2.1.1.228	705	MT_uniprot_EC_2.1.1.228.tsv
2.1.1.192	637	MT_uniprot_EC_2.1.1.192.tsv
2.1.1.182	624	MT_uniprot_EC_2.1.1.182.tsv
2.1.1.177	618	MT_uniprot_EC_2.1.1.177.tsv
2.1.1.33	557	MT_uniprot_EC_2.1.1.33.tsv
2.1.1.166	407	MT_uniprot_EC_2.1.1.166.tsv
2.1.1.163	386	MT_uniprot_EC_2.1.1.163.tsv
2.1.1.170	368	MT_uniprot_EC_2.1.1.170.tsv
2.1.1.77	332	MT_uniprot_EC_2.1.1.77.tsv
2.1.1.201	284	MT_uniprot_EC_2.1.1.201.tsv
2.1.1.64	253	MT_uniprot_EC_2.1.1.64.tsv
2.1.1.222	244	MT_uniprot_EC_2.1.1.222.tsv
2.1.1.242	196	MT_uniprot_EC_2.1.1.242.tsv
2.1.1.35	194	MT_uniprot_EC_2.1.1.35.tsv
2.1.1.61	183	MT_uniprot_EC_2.1.1.61.tsv
2.1.1.195	182	MT_uniprot_EC_2.1.1.195.tsv
2.1.1.186	170	MT_uniprot_EC_2.1.1.186.tsv
2.1.1.173	166	MT_uniprot_EC_2.1.1.173.tsv
2.1.1.264	166	MT_uniprot_EC_2.1.1.264.tsv
2.1.1.190	162	MT_uniprot_EC_2.1.1.190.tsv
2.1.1.56	161	MT_uniprot_EC_2.1.1.56.tsv
2.1.1.107	158	MT_uniprot_EC_2.1.1.107.tsv
1.3.1.76	141	MT_uniprot_EC_1.3.1.76.tsv
4.99.1.4	141	MT_uniprot_EC_4.99.1.4.tsv
2.1.1.172	140	MT_uniprot_EC_2.1.1.172.tsv
2.1.1.223	128	MT_uniprot_EC_2.1.1.223.tsv
2.1.1.181	124	MT_uniprot_EC_2.1.1.181.tsv
2.1.1.174	106	MT_uniprot_EC_2.1.1.174.tsv
2.1.1.37	105	MT_uniprot_EC_2.1.1.37.tsv
2.1.1.72	104	MT_uniprot_EC_2.1.1.72.tsv
2.1.1.189	100	MT_uniprot_EC_2.1.1.189.tsv
2.1.1.144	90	MT_uniprot_EC_2.1.1.144.tsv
2.1.1.178	87	MT_uniprot_EC_2.1.1.178.tsv
2.7.7.48	87	MT_uniprot_EC_2.7.7.48.tsv
2.1.1.297	86	MT_uniprot_EC_2.1.1.297.tsv
2.1.1.176	84	MT_uniprot_EC_2.1.1.176.tsv
2.1.1.57	84	MT_uniprot_EC_2.1.1.57.tsv
3.6.1.15	84	MT_uniprot_EC_3.6.1.15.tsv
3.6.4.13	84	MT_uniprot_EC_3.6.4.13.tsv
2.1.1.191	82	MT_uniprot_EC_2.1.1.191.tsv
2.1.1.17	69	MT_uniprot_EC_2.1.1.17.tsv
2.1.1.319	68	MT_uniprot_EC_2.1.1.319.tsv
2.7.7.50	61	MT_uniprot_EC_2.7.7.50.tsv
2.1.1.216	60	MT_uniprot_EC_2.1.1.216.tsv
3.4.21.91	59	MT_uniprot_EC_3.4.21.91.tsv
2.1.1.197	58	MT_uniprot_EC_2.1.1.197.tsv
2.1.1.98	51	MT_uniprot_EC_2.1.1.98.tsv
2.1.1.354	49	MT_uniprot_EC_2.1.1.354.tsv
2.1.1.206	45	MT_uniprot_EC_2.1.1.206.tsv
3.6.1.74	44	MT_uniprot_EC_3.6.1.74.tsv
2.1.1.198	41	MT_uniprot_EC_2.1.1.198.tsv
2.1.1.185	37	MT_uniprot_EC_2.1.1.185.tsv
2.1.1.104	33	MT_uniprot_EC_2.1.1.104.tsv
2.1.1.359	33	MT_uniprot_EC_2.1.1.359.tsv
2.1.1.221	30	MT_uniprot_EC_2.1.1.221.tsv
2.1.1.257	30	MT_uniprot_EC_2.1.1.257.tsv
2.1.1.361	29	MT_uniprot_EC_2.1.1.361.tsv
2.1.1.196	28	MT_uniprot_EC_2.1.1.196.tsv
2.1.1.200	28	MT_uniprot_EC_2.1.1.200.tsv
2.1.1.207	27	MT_uniprot_EC_2.1.1.207.tsv
2.1.1.360	25	MT_uniprot_EC_2.1.1.360.tsv
2.7.7.19	25	MT_uniprot_EC_2.7.7.19.tsv
3.1.3.84	25	MT_uniprot_EC_3.1.3.84.tsv
2.1.1.282	24	MT_uniprot_EC_2.1.1.282.tsv
2.1.1.113	22	MT_uniprot_EC_2.1.1.113.tsv
2.1.1.220	22	MT_uniprot_EC_2.1.1.220.tsv
2.1.1.298	22	MT_uniprot_EC_2.1.1.298.tsv
2.1.1.356	22	MT_uniprot_EC_2.1.1.356.tsv
2.1.1.80	22	MT_uniprot_EC_2.1.1.80.tsv
2.1.1.193	21	MT_uniprot_EC_2.1.1.193.tsv
2.1.1.233	21	MT_uniprot_EC_2.1.1.233.tsv
2.1.1.364	21	MT_uniprot_EC_2.1.1.364.tsv
2.1.1.68	21	MT_uniprot_EC_2.1.1.68.tsv
2.1.1.85	21	MT_uniprot_EC_2.1.1.85.tsv
2.1.1.13	19	MT_uniprot_EC_2.1.1.13.tsv
2.1.1.184	18	MT_uniprot_EC_2.1.1.184.tsv
2.1.1.211	18	MT_uniprot_EC_2.1.1.211.tsv
2.1.1.244	18	MT_uniprot_EC_2.1.1.244.tsv
2.1.1.314	18	MT_uniprot_EC_2.1.1.314.tsv
2.1.1.362	18	MT_uniprot_EC_2.1.1.362.tsv
2.1.1.6	18	MT_uniprot_EC_2.1.1.6.tsv
2.1.1.348	17	MT_uniprot_EC_2.1.1.348.tsv
2.1.1.355	16	MT_uniprot_EC_2.1.1.355.tsv
2.1.1.367	16	MT_uniprot_EC_2.1.1.367.tsv
2.1.1.372	16	MT_uniprot_EC_2.1.1.372.tsv
2.1.1.183	15	MT_uniprot_EC_2.1.1.183.tsv
2.1.1.290	14	MT_uniprot_EC_2.1.1.290.tsv
2.1.1.320	14	MT_uniprot_EC_2.1.1.320.tsv
2.1.1.366	14	MT_uniprot_EC_2.1.1.366.tsv
2.1.1.4	14	MT_uniprot_EC_2.1.1.4.tsv
2.1.1.41	14	MT_uniprot_EC_2.1.1.41.tsv
2.1.1.79	14	MT_uniprot_EC_2.1.1.79.tsv
2.3.1.231	14	MT_uniprot_EC_2.3.1.231.tsv
2.1.1.100	13	MT_uniprot_EC_2.1.1.100.tsv
2.1.1.386	13	MT_uniprot_EC_2.1.1.386.tsv
2.1.1.10	12	MT_uniprot_EC_2.1.1.10.tsv
2.1.1.225	12	MT_uniprot_EC_2.1.1.225.tsv
2.1.1.224	11	MT_uniprot_EC_2.1.1.224.tsv
2.1.1.346	11	MT_uniprot_EC_2.1.1.346.tsv
2.1.1.357	11	MT_uniprot_EC_2.1.1.357.tsv
2.1.1.71	11	MT_uniprot_EC_2.1.1.71.tsv
2.1.1.8	11	MT_uniprot_EC_2.1.1.8.tsv
2.1.1.214	10	MT_uniprot_EC_2.1.1.214.tsv
2.1.1.34	10	MT_uniprot_EC_2.1.1.34.tsv
2.1.1.114	9	MT_uniprot_EC_2.1.1.114.tsv
2.1.1.22	9	MT_uniprot_EC_2.1.1.22.tsv
2.1.1.229	9	MT_uniprot_EC_2.1.1.229.tsv
2.1.1.261	9	MT_uniprot_EC_2.1.1.261.tsv
2.1.1.137	8	MT_uniprot_EC_2.1.1.137.tsv
2.1.1.2	8	MT_uniprot_EC_2.1.1.2.tsv
2.1.1.321	8	MT_uniprot_EC_2.1.1.321.tsv
2.1.1.329	8	MT_uniprot_EC_2.1.1.329.tsv
2.1.1.103	7	MT_uniprot_EC_2.1.1.103.tsv
2.1.1.179	7	MT_uniprot_EC_2.1.1.179.tsv
2.1.1.203	7	MT_uniprot_EC_2.1.1.203.tsv
2.1.1.204	7	MT_uniprot_EC_2.1.1.204.tsv
2.1.1.218	7	MT_uniprot_EC_2.1.1.218.tsv
2.1.1.256	7	MT_uniprot_EC_2.1.1.256.tsv
2.1.1.273	7	MT_uniprot_EC_2.1.1.273.tsv
2.1.1.53	7	MT_uniprot_EC_2.1.1.53.tsv
2.1.1.117	6	MT_uniprot_EC_2.1.1.117.tsv
2.1.1.133	6	MT_uniprot_EC_2.1.1.133.tsv
2.1.1.160	6	MT_uniprot_EC_2.1.1.160.tsv
