EC_key	rows	file
2.1.1.45	442	MT_notSAM_uniprot_EC_2.1.1.45.tsv
2.1.1.14	274	MT_notSAM_uniprot_EC_2.1.1.14.tsv
2.1.1.74	256	MT_notSAM_uniprot_EC_2.1.1.74.tsv
2.7.7.48	90	MT_notSAM_uniprot_EC_2.7.7.48.tsv
2.1.1.148	78	MT_notSAM_uniprot_EC_2.1.1.148.tsv
3.6.4.13	74	MT_notSAM_uniprot_EC_3.6.4.13.tsv
2.1.1.63	55	MT_notSAM_uniprot_EC_2.1.1.63.tsv
NO_EC	43	MT_notSAM_uniprot_EC_NO_EC.tsv
3.4.19.12	34	MT_notSAM_uniprot_EC_3.4.19.12.tsv
3.6.4.12	34	MT_notSAM_uniprot_EC_3.6.4.12.tsv
2.1.1.57	33	MT_notSAM_uniprot_EC_2.1.1.57.tsv
2.7.7.50	30	MT_notSAM_uniprot_EC_2.7.7.50.tsv
2.1.1.56	26	MT_notSAM_uniprot_EC_2.1.1.56.tsv
1.5.1.3	18	MT_notSAM_uniprot_EC_1.5.1.3.tsv
2.1.1.320	12	MT_notSAM_uniprot_EC_2.1.1.320.tsv
2.1.1.159	9	MT_notSAM_uniprot_EC_2.1.1.159.tsv
2.1.1.245	9	MT_notSAM_uniprot_EC_2.1.1.245.tsv
2.1.1.249	9	MT_notSAM_uniprot_EC_2.1.1.249.tsv
2.1.1.250	9	MT_notSAM_uniprot_EC_2.1.1.250.tsv
2.1.1.5	9	MT_notSAM_uniprot_EC_2.1.1.5.tsv
2.1.1.248	8	MT_notSAM_uniprot_EC_2.1.1.248.tsv
2.1.1.367	6	MT_notSAM_uniprot_EC_2.1.1.367.tsv
2.1.1.10	5	MT_notSAM_uniprot_EC_2.1.1.10.tsv
2.1.1.103	3	MT_notSAM_uniprot_EC_2.1.1.103.tsv
2.1.1.160	3	MT_notSAM_uniprot_EC_2.1.1.160.tsv
2.1.1.247	3	MT_notSAM_uniprot_EC_2.1.1.247.tsv
2.1.1.62	3	MT_notSAM_uniprot_EC_2.1.1.62.tsv
2.1.1.9	3	MT_notSAM_uniprot_EC_2.1.1.9.tsv
1.21.3.10	2	MT_notSAM_uniprot_EC_1.21.3.10.tsv
2.1.1.141	2	MT_notSAM_uniprot_EC_2.1.1.141.tsv
2.1.1.246	2	MT_notSAM_uniprot_EC_2.1.1.246.tsv
2.1.1.251	2	MT_notSAM_uniprot_EC_2.1.1.251.tsv
2.1.1.269	2	MT_notSAM_uniprot_EC_2.1.1.269.tsv
2.1.1.280	2	MT_notSAM_uniprot_EC_2.1.1.280.tsv
2.1.1.359	2	MT_notSAM_uniprot_EC_2.1.1.359.tsv
2.1.1.44	2	MT_notSAM_uniprot_EC_2.1.1.44.tsv
2.1.1.72	2	MT_notSAM_uniprot_EC_2.1.1.72.tsv
3.2.2.21	2	MT_notSAM_uniprot_EC_3.2.2.21.tsv
3.4.22.69	2	MT_notSAM_uniprot_EC_3.4.22.69.tsv
1.14.11.31	1	MT_notSAM_uniprot_EC_1.14.11.31.tsv
2.1.1.122	1	MT_notSAM_uniprot_EC_2.1.1.122.tsv
2.1.1.15	1	MT_notSAM_uniprot_EC_2.1.1.15.tsv
2.1.1.258	1	MT_notSAM_uniprot_EC_2.1.1.258.tsv
2.1.1.261	1	MT_notSAM_uniprot_EC_2.1.1.261.tsv
2.1.1.325	1	MT_notSAM_uniprot_EC_2.1.1.325.tsv
2.1.1.341	1	MT_notSAM_uniprot_EC_2.1.1.341.tsv
2.1.1.348	1	MT_notSAM_uniprot_EC_2.1.1.348.tsv
2.1.1.357	1	MT_notSAM_uniprot_EC_2.1.1.357.tsv
2.1.1.376	1	MT_notSAM_uniprot_EC_2.1.1.376.tsv
2.1.1.378	1	MT_notSAM_uniprot_EC_2.1.1.378.tsv
2.1.1.383	1	MT_notSAM_uniprot_EC_2.1.1.383.tsv
2.1.1.60	1	MT_notSAM_uniprot_EC_2.1.1.60.tsv
2.1.1.85	1	MT_notSAM_uniprot_EC_2.1.1.85.tsv
2.1.1.90	1	MT_notSAM_uniprot_EC_2.1.1.90.tsv
3.4.21.91	1	MT_notSAM_uniprot_EC_3.4.21.91.tsv
3.6.1.15	1	MT_notSAM_uniprot_EC_3.6.1.15.tsv
